restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagels:,Menu,Bagels:,Saratoga Springs,Bagels,"Plain, Sesame, Poppy, Everything, Cinnamon Raisin, Honey Wheat, Onion, Garlic, Rosemary Olive, Jalapeno, Pumpernickel, Oat Bran, Salt, Cheddar-Parm",Single $1.25 | Half Dozen $6.75 | Baker's Dozen $11.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Cream Cheese,,$3.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Schmear of Cream Cheese,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Butter,,$2.05
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Schmear Hummus,,$4.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Peanut Butter,,$2.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Peanut Butter & Jelly,,$4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,BLT,"Bacon, Lettuce, Tomato, and Mayo",$6.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Flying Pig,"Turkey, Lettuce, Tomato, Onion, Bacon, Monterey Jack, and Mayo",$9.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,"Winner, Winner","Chicken Salad, Lettuce, Tomato, Provolone, and Sprouts",$8.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Healthy Harvest,"Lettuce, Tomato, Cucumber, Green Pepper, Onion, and Sprouts",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Lox of Love,"Smoked Salmon, Cream Cheese, Onion, and Capers",$10.35
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Avocado Toast,"Top half of any bagel, toasted, with avocado, red pepper flakes, black sesame seeds, olive oil and a lemon slice",$4.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,Finishing Touches,", Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,+,"), Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,+,"), Avocado (+)",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,Scramble Egg,,$3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,With Cheese,,$4.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,"With Bacon, Sausage, or Ham",,$5.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Mediterranean,"Egg, Spinach, Tomato, Avocado, and Pesto",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Western,"Egg, Ham, Green Pepper, Onion, and Cheddar",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Lumberjack,"Two Eggs, Sausage, Bacon, American Cheese, and Maple Syrup",$7.45
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Greek,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Caesar,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Garden,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Add Protein,"Grilled Chicken, Hummus, Tuna Salad (house-made), Chicken Salad (house-made)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Soup,Menu,Soup,Saratoga Springs,Soup,Soup served with house-made bagel chips or oyster crackers. Soup selections vary daily.,Cup $4.99 | Bowl $5.99
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Coffee “for here”,,$2.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,White Mocha,,Small $4.25 | Medium $4.85 | Large $5.25
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Red Eye,,Small $3.05 | Medium $3.70 | Large $4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Espresso single,,$1.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Hot Chocolate,,Small $3.00 | Medium $3.50 | Large $3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,White Hot Chocolate,25 95,$3.
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Cup of Tea “for here”,,$1.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Pot of Tea,,$3.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Tea to go,,Small $2.00 | Medium $2.40 | Large $2.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Chai Latte,,Small $3.80 | Medium $4.40 | Large $4.80
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Tea,Menu,Tea,Saratoga Springs,Matcha Latte,,Small $4.00 | Medium $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Blended,Menu,Blended,Saratoga Springs,Espresso Frappe,,Small $4.65 | Large $5.05
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Blended,Menu,Blended,Saratoga Springs,Espresso Frappe with Oreo,,Small $4.90 | Large $5.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Blended,Menu,Blended,Saratoga Springs,Smoothies,"Strawberry Banana, Mixed Berry, Green Tropical, Cocoa-Cold Brew, Peach Mango",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Iced Coffee,,Small $2.75 | Large $3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Cold Brew,,Small $3.35 | Large $4.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Iced Tea,"(House Black, Lavender Chamomile, or Green Citrus Mint)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Iced Latte,,Small $4.00 | Large $4.40
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Iced Vanilla Latte,,Small $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Iced,Menu,Iced,Saratoga Springs,Iced Chai,,Small $4.00 | Large $4.45
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Saratoga Springs,House-made Scones,,$3.80
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Saratoga Springs,House-made Cookies,,$3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Saratoga Springs,Muffins,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Saratoga Springs,,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Saratoga Springs,Biscotti,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagels:,Menu,Bagels:,Albany,Bagels,"Plain, Sesame, Poppy, Everything, Cinnamon Raisin, Honey Wheat, Onion, Garlic, Rosemary Olive, Jalapeno, Pumpernickel, Oat Bran, Salt, Cheddar-Parm",Single $1.25 | Half Dozen $6.75 | Baker's Dozen $11.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Cream Cheese,,$3.00
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Schmear of Cream Cheese,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Butter,,$2.05
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Schmear Hummus,,$4.60
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Peanut Butter,,$2.85
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel with…,Menu,Bagel with…,Albany,Peanut Butter & Jelly,,$4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,BLT,"Bacon, Lettuce, Tomato, and Mayo",$6.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,Flying Pig,"Turkey, Lettuce, Tomato, Onion, Bacon, Monterey Jack, and Mayo",$9.20
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,"Winner, Winner","Chicken Salad, Lettuce, Tomato, Provolone, and Sprouts",$8.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,Healthy Harvest,"Lettuce, Tomato, Cucumber, Green Pepper, Onion, and Sprouts",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,Lox of Love,"Smoked Salmon, Cream Cheese, Onion, and Capers",$10.35
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Albany,Avocado Toast,"Top half of any bagel, toasted, with avocado, red pepper flakes, black sesame seeds, olive oil and a lemon slice",$4.95
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Create Your Own….,Menu,Create Your Own….,Albany,Finishing Touches,", Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Create Your Own….,Menu,Create Your Own….,Albany,+,"), Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Create Your Own….,Menu,Create Your Own….,Albany,+,"), Avocado (+)",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,Scramble Egg,,$3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,With Cheese,,$4.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,"With Bacon, Sausage, or Ham",,$5.60
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,The Mediterranean,"Egg, Spinach, Tomato, Avocado, and Pesto",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,The Western,"Egg, Ham, Green Pepper, Onion, and Cheddar",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Albany,The Lumberjack,"Two Eggs, Sausage, Bacon, American Cheese, and Maple Syrup",$7.45
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Salads,Menu,Salads,Albany,Add Protein,"Grilled Chicken, Hummus, Tuna Salad (house-made), Chicken Salad (house-made)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Soup,Menu,Soup,Albany,Soup,Soup served with house-made bagel chips or oyster crackers. Soup selections vary daily.,Cup $4.99 | Bowl $5.99
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Coffee “for here”,,$2.00
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,White Mocha,,Small $4.25 | Medium $4.85 | Large $5.25
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Red Eye,,Small $3.05 | Medium $3.70 | Large $4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Espresso single,,$1.95
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,Hot Chocolate,,Small $3.00 | Medium $3.50 | Large $3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Hot Drinks,Menu,Hot Drinks,Albany,White Hot Chocolate,25 95,$3.
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Tea,Menu,Tea,Albany,Cup of Tea “for here”,,$1.90
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Tea,Menu,Tea,Albany,Pot of Tea,,$3.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Tea,Menu,Tea,Albany,Tea to go,,Small $2.00 | Medium $2.40 | Large $2.60
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Tea,Menu,Tea,Albany,Chai Latte,,Small $3.80 | Medium $4.40 | Large $4.80
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Tea,Menu,Tea,Albany,Matcha Latte,,Small $4.00 | Medium $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Blended,Menu,Blended,Albany,Espresso Frappe,,Small $4.65 | Large $5.05
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Blended,Menu,Blended,Albany,Espresso Frappe with Oreo,,Small $4.90 | Large $5.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Blended,Menu,Blended,Albany,Smoothies,"Strawberry Banana, Mixed Berry, Green Tropical, Cocoa-Cold Brew, Peach Mango",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Coffee,,Small $2.75 | Large $3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Cold Brew,,Small $3.35 | Large $4.20
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Tea,"(House Black, Lavender Chamomile, or Green Citrus Mint)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Latte,,Small $4.00 | Large $4.40
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Vanilla Latte,,Small $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Chai,,Small $4.00 | Large $4.45
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,House-made Scones,,$3.80
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,House-made Cookies,,$3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,Muffins,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,Biscotti,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagels:,Menu,Bagels:,Clifton Park,Bagels,"Plain, Sesame, Poppy, Everything, Cinnamon Raisin, Honey Wheat, Onion, Garlic, Rosemary Olive, Jalapeno, Pumpernickel, Oat Bran, Salt, Cheddar-Parm",Single $1.25 | Half Dozen $6.75 | Baker's Dozen $11.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Cream Cheese,,$3.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Schmear of Cream Cheese,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Butter,,$2.05
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Schmear Hummus,,$4.60
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Peanut Butter,,$2.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Peanut Butter & Jelly,,$4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,BLT,"Bacon, Lettuce, Tomato, and Mayo",$6.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Flying Pig,"Turkey, Lettuce, Tomato, Onion, Bacon, Monterey Jack, and Mayo",$9.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,"Winner, Winner","Chicken Salad, Lettuce, Tomato, Provolone, and Sprouts",$8.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Healthy Harvest,"Lettuce, Tomato, Cucumber, Green Pepper, Onion, and Sprouts",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Lox of Love,"Smoked Salmon, Cream Cheese, Onion, and Capers",$10.35
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Avocado Toast,"Top half of any bagel, toasted, with avocado, red pepper flakes, black sesame seeds, olive oil and a lemon slice",$4.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,Finishing Touches,", Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,+,"), Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,+,"), Avocado (+)",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,Scramble Egg,,$3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,With Cheese,,$4.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,"With Bacon, Sausage, or Ham",,$5.60
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Mediterranean,"Egg, Spinach, Tomato, Avocado, and Pesto",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Western,"Egg, Ham, Green Pepper, Onion, and Cheddar",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Lumberjack,"Two Eggs, Sausage, Bacon, American Cheese, and Maple Syrup",$7.45
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Greek,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Caesar,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Garden,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Add Protein,"Grilled Chicken, Hummus, Tuna Salad (house-made), Chicken Salad (house-made)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Soup,Menu,Soup,Clifton Park,Soup,Soup served with house-made bagel chips or oyster crackers. Soup selections vary daily.,Cup $4.99 | Bowl $5.99
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Coffee “for here”,,$2.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,White Mocha,,Small $4.25 | Medium $4.85 | Large $5.25
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Red Eye,,Small $3.05 | Medium $3.70 | Large $4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Espresso single,,$1.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Hot Chocolate,,Small $3.00 | Medium $3.50 | Large $3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,White Hot Chocolate,25 95,$3.
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Cup of Tea “for here”,,$1.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Pot of Tea,,$3.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Tea to go,,Small $2.00 | Medium $2.40 | Large $2.60
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Chai Latte,,Small $3.80 | Medium $4.40 | Large $4.80
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Matcha Latte,,Small $4.00 | Medium $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Espresso Frappe,,Small $4.65 | Large $5.05
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Espresso Frappe with Oreo,,Small $4.90 | Large $5.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Blended,Menu,Blended,Clifton Park,Smoothies,"Strawberry Banana, Mixed Berry, Green Tropical, Cocoa-Cold Brew, Peach Mango",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Coffee,,Small $2.75 | Large $3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Cold Brew,,Small $3.35 | Large $4.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Tea,"(House Black, Lavender Chamomile, or Green Citrus Mint)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Latte,,Small $4.00 | Large $4.40
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Vanilla Latte,,Small $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Iced,Menu,Iced,Clifton Park,Iced Chai,,Small $4.00 | Large $4.45
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,House-made Scones,,$3.80
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,House-made Cookies,,$3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,Muffins,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Clifton Park,Biscotti,,$2.50
