restaurant_name,restaurant_url,section,name,description,price
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Chicken Wings- Traditional -or- Boneless,BBQ /Carolina Gold/ Medium / Hot / Garlic Parm / Maple Sriracha,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Calamari- Crispy or Sauteed,With marinara sauce & fresh lemon,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Garlic Bread with Cheese,"Homemade fresh Italian baguette baked with garlic, olive oil, parmesan, mozzarella & herbs",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Sautéed Escarole & Sausage,,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Fresh Tomato Bruschetta,"Fresh tomato, basil, red onion, garlic & olive oil, served on toasted Italian baguette, finished with balsamic glaze",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Sautéed Kale & Lentils,"Fresh kale sautéed with red lentils, garlic & olive oil, finished with reggiano parmigiano cheese",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Mozzarella Sticks,"Served with marinara sauce, Melba Sauce (+$1)",$1
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,SAM ADAMS STEAMED CLAMS,"Fresh Rhode Island littleneck clams steamed in Sam Adams lager with garlic & fresh herbs, served with drawn butter",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Appetizers,Crispy Truffled Artichokes,"Flash fried artichoke hearts tossed with parmesan cheese, white truffle salt & olive oil",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Kale Apple Salad,"Fresh kale, apples, craisins, walnuts, goat cheese & apple cider vinaigrette",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Burratta Arugula Caprese,"Buratta mozzarella with tomato, basil & Extra Virgin Olive Oil over Arugula & finished with balsamic glaze",$16.5
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Antipasto,"Mixed green salad with salami, ham, pepperoni, fontinella & provolone cheese, olives, onions, chick peas,    hot cherry & pepperoncini peppers, sweet roasted red peppers.  Served with house Italian vinaigrette dressing",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Ahi Tuna Salad,"Seared tuna with mixed greens, cucumber, tomato, wasabi, fresh ginger, & cucumber wasabi dressing",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Pear Gorgonzola Salad,"Pears, gorgonzola cheese, walnuts, craisins & pappadew peppers over fresh greens, with house Italian vinaigrette dressing",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Caesar Salad,Small-(Individual)  -or-Large-(Family Style),
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Garden Salad,Small-(Individual)  -or-Large-(Family Style),
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Roasted Root Veggie Bowl,"Roasted beets, sweet potatoes, quinoa & goat cheese, with a side of lemon vinaigrette",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Pasta e Fagioli Soup,,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,Escarole & Bean Soup,,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Soup & Salad,French Onion Crock,Baked with toasted baguette & mozzarella,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Linguini & Clam Sauce,"Little neck & baby clams, White-or-Red add Italian sausage (+$3)",$3
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Pappardelle Bolognese,"Slow simmered tomato ragu of veal, beef & pork over fresh Pappardelle pasta.",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Chicken Carciofini,"Sautéed chicken breast tenders, artichokes, mushrooms & sun dried tomatoes tossed with pasta in light brandy cream sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Orecchiette Calabrese,"Sautéed chicken breast tenders, chorizo sausage, fresh kale & hot Calabrese peppers in a spicy cream sauce tossed with pasta",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Manicotti,Ricotta & pecorino cheeses stuffed pasta crepes baked with mozzarella & marinara sauce,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Lasagne,"16 oz. baked beef, sausage, pasta, ricotta, mozzarella & marinaraGluten Free +3",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pasta,Grande Five Cheese Ravioli,"Jumbo Grande cheese ravioli, served with Marinara sauce.Gluten Free +$3",$3
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Village Pizzeria Sampler,"Baked manicotti, shells Florentine, eggplant rollatini & chicken parmigiana, baked with marinara, mozzarella & reggiano parmigiano cheese",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Chicken Florentine,"Baked chicken breast stuffed with spinach, artichokes & Italian cheeses over capellini & finished with garlic butter",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Vitello di Parma,"Fresh hand cut veal medallions sautéed with prosciutto, mushrooms & spinach sautéed in white wine sauce over capellini",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Shrimp Cassandra,Prosciutto wrapped jumbo shrimp over crispy spinach & capellini in garlic butter,
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Eggplant Napolitano,"Battered eggplant stacked with fresh mozzarella, basil & marinara, served over pasta",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,House Specialties,Pork Osso Bucco,"Braised bone-In pork shank smothered in mushroom gravy, served with garlic mashed potatoes & seasonal vegetables",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pizza,Classic Cheese Pizza,Toppings:,$22
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Gourmet Pizza,Gourmet Pizza,"mozzarella cheese & pizza sauce -or- “white” garlic, olive oil & herbs 14 inch Gluten Free available add $5 10″, 14″, 16″",$5
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,RIGATONI ANTONIO,"Shrimp, scallops, broccoli & sweet red peppers, tossed with rigatoni in Cajun cream sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Chicken Piccatta,"Sautéed in lemon-butter-white wine sauce & capers, with pasta",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,CHARRED TOMATO CHICKEN CAPRESE,"Pan seared chicken, fire roasted tomato, burrata, basil, balsamic glaze & pappardelle",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Calabrese Shrimp Diavolo,"Sautéed shrimp with spicy Calabrese peppers, garlic, olive oil, fresh basil & pastaSubstitute lobster (+6)Add Sausage (+3)",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Baked Stuffed Shrimp,"Crabmeat & breadcrumb stuffed jumbo shrimp, served with risotto & vegetables",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Haddock Pomodoro,Panko & parmesan encrusted haddock filet with San Marzano tomatoes served over crispy spinach & capellini finished with garlic butter & herbs,$27
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,NY Strip Sirloin,Char-grilled 14 oz sirloin served with sautéed vegetables & choice of mashed potatoes or pasta-add portobello mushrooms +$3,$3
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Veal Calabrese,"Breaded veal medallions baked with prosciutto, spicy Calabrese peppers, fontina & mozzarella cheeses, with pasta marinara",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Veal Piccatta,"Veal cutlet sautéed in lemon-butter-white wine sauce with capers, with a side of pasta marinara or over pasta with picatta sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Veal Marsala,"Sautéed veal cutlet with fresh mushrooms in rich Marsala wine sauce, with a side of pasta with marinara or Marsala sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Veal Francese,"Egg dipped veal cutlet sautéed in lemon-butter & white wine sauce, with risotto & sautéed vegetables",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Veal Parmigiana,"Fresh cut & lightly breaded veal medallions baked with mozzarella & parmesan cheeses, with pasta marinara",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Chicken Marsala,"Sautéed chicken breast with fresh mushrooms in rich Marsala wine sauce, with a side of pasta with marinara or Marsala sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Chicken Francese,"Egg dipped chicken breast sautéed in lemon-butter & white wine sauce, with risotto & sautéed vegetables",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Entrées,Chicken Parmigiana,"Breaded chicken breast baked with mozzarella & parmigiano reggiano cheese, served with pasta marinara",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Burgers,Signature Burger,"Grilled Angus beef with lettuce, tomato & onion served with fries & a pickle",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Burgers,Bourbon Burger,"Grilled Angus beef, bourbon glazed bacon, caramelized onion & cheddar cheese, served with fries",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,Caprese Focaccia,"Prosciutto, tomato, fresh mozzarella, pesto oil & balsamic, with fries",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,“Villy” Cheese Steak Grinder,"Sliced sirloin, sautéed mushrooms, onion & peppers baked with mozzarella cheese on a toasted grinder roll with a side of marinara sauce",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,Sirloin Horseradish Focaccia,"$16.50 Sliced sirloin baked with pepper jack-horseradish sauce, and crispy onions & served with fries",$16.50
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,Chicken Parmigiana Grinder,"Breaded chicken baked with mozzarella, parmesan & marinara sauce on a fresh grinder roll",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,Chicken Sriracha Wrap,"Crispy chicken, lettuce, tomato, sriracha-mayo & fries",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Signature Sandwiches,Handmade Meatball OR Italian Sweet Sausage Grinder,"Choose either ourHandmade MeatballsorItalian Sweet Sausage, baked with mozzarella & marinara sauce on a Toasted Grinder Roll.",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Calzones,Calzone,"Our Signature Dough filled with Mozzarella, Ricotta & Pecorino Romano Cheeses, served with Marinara Sauce.  Keep it simple or get creative & add any of our pizza toppings. Keep it simple or get creative and add any of our pizza toppings Small -or- Large",
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Saratoga Sparkling Water,$3.50  (12 oz) | $7 (28 oz),$3.50 | $7
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,San Pellegrino Italian Sparkling Water,,$7.25
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Aqua Panna Italian Still Water,,$7.25
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Cappuccino,,$7
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Lavazza Coffee / Herbal Tea,,$3.5
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Espresso,,$4.5
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Fountain Soda & Ice Tea,,$3.59
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Beverages,Boylan Natural Sodas,"Black Cherry, Root Beer, Birch Beer, Cream, Orange, Grape, Ginger Ale & Seasonal Selections.",$3.79
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Prosecco, Bollicini","(Piedmonte, Italy)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Sparkling Rosé, Mionetto",(Italy),Bottle $40
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Prosecco, Mionetto",(Italy),Bottle $40
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Sparkling Brut Rose, La Crème",(California),Bottle $65
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"'19 Brut, Segura Viudas Heredad Brut Reserve D.O.","(Cava, Spain) MAGNUM",Bottle $65
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Brut Natural, Korbel","(Sonoma, California)",Bottle $48
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,"NV Brut ""Yellow Label"", Veuve Clicquot",(France),Bottle (375ml) $70 | Bottle $120
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Champagne & Sparkling Wines,NV Veuve Clicquot Yellow Label MAGNUM,,Bottle $250
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Pinot Grigio, Santa Marina","(Veneto, Italy)",Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Pinot Grigio, Santa Margherita","(Alto Adige, Italy)",Bottle $55
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Pinot Grigio, Pighin","(Fruili, Italy)",Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'22 Pinot Gris, Protea",(South Africa),Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'22 The Crossing,"(Marlborough, New Zealand)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'01 Kim Crawford,"(Marlborough, New Zealand)",Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'21 Noble Vines,"(Monterey, California)",Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'21 Josh,(North Coast),Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'20 Shades of Blue, Riesling","(Mosel, Germany)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Pacific Rim “Sweet Riesling”,(Washington State),Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'21 Leornard Kreusch Liebfraumilch Rheinhessen,(Germany),Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Josh Reserve Chardonnay,(North Coast),Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'21 Daou St Luis Obispo,(California),Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'20 Four Vines ""Naked Unoaked""","(Santa Barbara, California)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21Kendall-Jackson ""Vintner's Reserve""",(California),Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'18 Pouilly-Fuisse, Louis Latour","(Burgundy, France)",Bottle $55
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Hess Collection,"(Napa, California)",Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'13 Chassagne-Montrachet, Louis Latour","(Burgundy, France)",Bottle $95
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Kistler,"(Sonoma, California)",Bottle $95
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'18 Ardeche Bourgogne,"(Burgundy, France)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Windracer,(Russian River Valley),Bottle $110
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'21 Peter Michael,"(Knights Valley, California)",Bottle $195
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'13 Barnett,(Anderson Valley),Bottle $95
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Orvieto Classico Superiore, Salviano","(Umbria, Italy)",Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Falanghina, Donna Chiara","(Campania, Italy)",Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'21 Tomasi, Lugana",(Veneto),Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"'18 Moscato, Seven Daughters",(Italy),Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,"NV Planeta, Etna Bianco","(Sicily, Italy) Carricante",Bottle $42
Village Pizzeria & Ristorante,https://villagepizzeria.com/,White Wines,'20 Gianni Gagliardo Fallegro,"(Piedmont, Italy)",Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Blush & Rose,"'21 Jean-Luc Colombo, Cape Bleue Rose",(French),Glass $9 | Bottle $35
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Blush & Rose,'21 Il Poggione Brancato Rosato,(Tuscany),Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Blush & Rose,'22 Whispering Angel,(Provence),Bottle $55
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Blush & Rose,"'20 Rose, M. Chapoutier ""Belleruche""","(Rhone, France)",Bottle $30
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Blush & Rose,'21 Masciarelli Cerasuolo Rose,(Italy),Bottle $40
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'19 The Pinot Project,(California),Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'19 Rainstorm,(Oregon),Bottle $45
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'18 Kistler,"(Russian River, California)",Bottle $115
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'18 Hangtime,"(Arroyo Secco, California)",Bottle $38
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'16 Clark & Telephone Vineyard “Belle Glos”,"(Santa Barbara, California)",Bottle $95
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'12 Maggy Hawk Stormin,"(Anderson Valley, California)",Bottle $90
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Pinot Noir,'18 Windracer Russian River,,Bottle $110
Village Pizzeria & Ristorante,https://villagepizzeria.com/,Zinfandel,'16 Predator “Old Vine”,"(Lodi, California)",Bottle $35
